People's Republic of China (CN),0,,buyer country,,,"Hong Kong, Macao and Taiwan investment enterprises",0,,Sino-foreign joint venture,0,,Seller Category C,,,,,Foreign-owned,Domestic-funded enterprises,Joint venture,Hong Kong and Taiwan investment companies,,,,,Seller ownership,,,,,,Intellectual Property A,,,,,Domestic patent,technical secrets,No intellectual property rights,,Technical Services,0,Contract type A,,,,,technology development,Consulting and services,technology transfer,intellectual property transactions,,Installment payment,1,,payment method,,,Seller name,,,Seller name,,,Buyer name,,,Buyer name,,,"Hong Kong, Macao and Taiwan investment enterprises",1,,Buyer Category B,,,buyer country,,,buyer country,,,Seller Category C,,,Seller Category C,,,Seller ownership,,,Seller ownership,,,Intellectual Property A,,,Intellectual Property A,,,Contract type A,,,Contract type A,,,payment method,,,payment method,
,,,United States(US),1,,,,,,,,"Foreign Investment Co., Ltd.",0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,"Lingxiang Creative Software (Beijing) Co., Ltd.bbq",39,,"Beijing Daoda Technology Co., Ltd. bjh",11,,Hunan Provincial Geological Environment Monitoring Station,3,,"Double Bridge Technologies,Inc.",2,,,,,Overseas enterprises,3,,,,,United States(US),1,,,,,"Foreign Investment Co., Ltd.",3,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,United States(US),1,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Information transmission, computer services and software industry",1,,,,,technical secrets,0,,,,0,1,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,"Quantum Hi-Tech (Beijing) Research Institute Co., Ltd. bjj",40,,"Beijing Chuanshi Digital Technology Co., Ltd. bjj",12,,Chengdu Institute of Geology and Mineral Resources,3,,"NeuLion, Inc.",2,,,,,Overseas enterprises,3,,,,,United States(US),1,,,,,Foreign companies,2,,,,,"Information transmission, computer services and software industry",1,,,,,technical secrets,3,,,,,technology development,2,,,,,Installment payment,1
,,,United States(US),1,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,"Haomen (China) Network Technology Co., Ltd.",41,,"Beijing Texel Software Co., Ltd.",13,,Hubei Province Jingzhou Center for Disease Control and Prevention,3,,TechExcel,2,,,,,Overseas enterprises,3,,,,,United States(US),1,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,United States(US),1,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,"Nokia (China) Investment Co., Ltd.",42,,"Beijing Texel Software Co., Ltd.bbq",14,,"Institute of Agricultural Resources and Agricultural Zoning, Chinese Academy of Agricultural Sciences",3,,TechExcel,2,,,,,Overseas enterprises,3,,,,,United States(US),1,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,United States(US),1,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,commission payment,1,,"Microsoft (China) Co., Ltd. bjj",43,,"Beijing Texel Software Co., Ltd.",13,,"Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences",3,,TechExcel,2,,,,,Overseas enterprises,3,,,,,United States(US),1,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,commission payment,3
,,,United Kingdom(GB),1,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,manufacturing,0,,,,,technical secrets,0,,,,0,1,0,,,,technology development,1,,,,1,0,0,1,,,,,One time payment,0,,"Lucent Technologies (China) Co., Ltd. bjj",44,,"Beijing Siwei Hengtong Technology Development Co., Ltd. bjj",15,,Fujian Geological Surveying and Mapping Institute,3,,JOHNSON SECURITY LTD,2,,,,,Overseas enterprises,3,,,,,United Kingdom(GB),1,,,,,Sino-foreign joint venture,1,,,,,manufacturing,3,,,,,technical secrets,3,,,,,technology development,2,,,,,One time payment,2
,,,United Kingdom(GB),1,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,manufacturing,0,,,,,technical secrets,0,,,,0,1,0,,,,technology development,1,,,,1,0,0,1,,,,,One time payment,0,,"Beijing Procter & Gamble Technology Co., Ltd. bjj",45,,"Beijing Siwei Hengtong Technology Development Co., Ltd. bjj",15,,Liaoning Provincial Water Conservancy and Hydropower Survey and Design Institute,3,,JOHNSON SECURITY LTD,2,,,,,Overseas enterprises,3,,,,,United Kingdom(GB),1,,,,,Sino-foreign joint venture,1,,,,,manufacturing,3,,,,,technical secrets,3,,,,,technology development,2,,,,,One time payment,2
,,,United States(US),1,,,,,,,,"Foreign Investment Co., Ltd.",0,,,,0,0,1,0,,,,,manufacturing,0,,,,,technical secrets,0,,,,0,1,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,"Lucent Technologies (China) Co., Ltd.",46,,"Silicon Valley Analog Semiconductor (Beijing) Co., Ltd.",16,,Anhui Electric Power Design Institute,3,,Analogix International,2,,,,,Overseas enterprises,3,,,,,United States(US),1,,,,,"Foreign Investment Co., Ltd.",3,,,,,manufacturing,3,,,,,technical secrets,3,,,,,technology development,2,,,,,Installment payment,1
,,,United States(US),1,,,,,,,,"Foreign Investment Co., Ltd.",0,,,,0,0,1,0,,,,,manufacturing,0,,,,,technical secrets,0,,,,0,1,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,"LG Electronics (China) Research and Development Center Co., Ltd.",47,,"Silicon Valley Analog Semiconductor (Beijing) Co., Ltd.",16,,Jiangsu Provincial Institute of Surveying and Mapping Engineering,3,,"Analogix International, Inc",2,,,,,Overseas enterprises,3,,,,,United States(US),1,,,,,"Foreign Investment Co., Ltd.",3,,,,,manufacturing,3,,,,,technical secrets,3,,,,,technology development,2,,,,,Installment payment,1
,,,United States(US),1,,,,,,,,"Foreign Investment Co., Ltd.",0,,,,0,0,1,0,,,,,manufacturing,0,,,,,patent,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,"Beijing Samsung Communication Technology Research Co., Ltd.",48,,"Silicon Valley Analog Semiconductor (Beijing) Co., Ltd.",16,,Anhui Geological Survey Institute,3,,Analogix International,2,,,,,Overseas enterprises,3,,,,,United States(US),1,,,,,"Foreign Investment Co., Ltd.",3,,,,,manufacturing,3,,,,,patent,4,,,,,technology development,2,,,,,Installment payment,1
,,,United States(US),1,,,,,,,,"Foreign Investment Co., Ltd.",0,,,,0,0,1,0,,,,,manufacturing,0,,,,,patent,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,"LG Electronics (China) Research and Development Center Co., Ltd.",49,,"Silicon Valley Analog Semiconductor (Beijing) Co., Ltd.",16,,"State Forestry Administration Survey, Planning and Design Institute",3,,Analogix International,2,,,,,Overseas enterprises,3,,,,,United States(US),1,,,,,"Foreign Investment Co., Ltd.",3,,,,,manufacturing,3,,,,,patent,4,,,,,technology development,2,,,,,Installment payment,1
,,,United States(US),1,,,,,,,,"Foreign Investment Co., Ltd.",0,,,,0,0,1,0,,,,,manufacturing,0,,,,,patent,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,"Ericsson (China) Co., Ltd.",50,,"Silicon Valley Analog Semiconductor (Beijing) Co., Ltd.",16,,"Institute of Mineral Resources, Chinese Academy of Geological Sciences",3,,Analogix International,2,,,,,Overseas enterprises,3,,,,,United States(US),1,,,,,"Foreign Investment Co., Ltd.",3,,,,,manufacturing,3,,,,,patent,4,,,,,technology development,2,,,,,Installment payment,1
,,,United States(US),1,,,,,,,,"Foreign Investment Co., Ltd.",0,,,,0,0,1,0,,,,,manufacturing,0,,,,,technical secrets,0,,,,0,1,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,"Motorola (China) Technologies Co., Ltd.",51,,"Silicon Valley Analog Semiconductor (Beijing) Co., Ltd.",16,,China National Petroleum Corporation Science and Technology Research Institute,3,,"Analogix International, Inc",2,,,,,Overseas enterprises,3,,,,,United States(US),1,,,,,"Foreign Investment Co., Ltd.",3,,,,,manufacturing,3,,,,,technical secrets,3,,,,,technology development,2,,,,,Installment payment,1
,,,United States(US),1,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,"Siemens (China) Co., Ltd. Beijing Mobile Communications Network R&D Branch",52,,"Beijing Chuanshi Digital Technology Co., Ltd. bjj",12,,Chinese Academy of Sciences China Remote Sensing Satellite Ground Station,3,,"NeuLion, Inc. (New Poetry Co., Ltd.)",2,,,,,Overseas enterprises,3,,,,,United States(US),1,,,,,Foreign companies,2,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,United States(US),1,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,commission payment,1,,"Nokia China Investment Co., Ltd.",53,,"Beijing Texel Software Co., Ltd.bbq",14,,Jiangsu Provincial Bureau of Surveying and Mapping,3,,"TechExcel, Inc. (Texel Corporation of the United States)",2,,,,,Overseas enterprises,3,,,,,United States(US),1,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,commission payment,3
,,,United States(US),1,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,commission payment,1,,"Shiyifa (Beijing) Semiconductor R&D Co., Ltd. bqs",54,,"Beijing Texel Software Co., Ltd.bbq",14,,National Satellite Ocean Application Center,3,,TechExcel,2,,,,,Overseas enterprises,3,,,,,United States(US),1,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,commission payment,3
,,,United States(US),1,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,"Zhongxun Runtong Technology (Beijing) Co., Ltd.",55,,"Beijing Texel Software Co., Ltd.",13,,"Center for Earth Observation and Digital Earth Science, Chinese Academy of Sciences",3,,TechExcel,2,,,,,Overseas enterprises,3,,,,,United States(US),1,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,United States(US),1,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,commission payment,1,,"Beijing Suohong Electronics Co., Ltd.",56,,"Beijing Texel Software Co., Ltd.bbq",14,,"Institute of Geographic Sciences and Natural Resources, Chinese Academy of Sciences",3,,"TechExcel, Inc. (Texel Corporation of the United States)",2,,,,,Overseas enterprises,3,,,,,United States(US),1,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,commission payment,3
,,,United States(US),1,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,"Schlumberger Technology (Beijing) Co., Ltd.",57,,"Beijing Texel Software Co., Ltd.",13,,Jiangsu Provincial Environmental Monitoring Center,3,,TechExcel,2,,,,,Overseas enterprises,3,,,,,United States(US),1,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,United States(US),1,,,,,,,,"Foreign Investment Co., Ltd.",0,,,,0,0,1,0,,,,,manufacturing,0,,,,,technical secrets,0,,,,0,1,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,"Beijing concave and convex micro electronics development co., ltd. bjj",58,,"Silicon Valley Analog Semiconductor (Beijing) Co., Ltd.",16,,China Urban Planning and Design Institute,3,,Analogex International,2,,,,,Overseas enterprises,3,,,,,United States(US),1,,,,,"Foreign Investment Co., Ltd.",3,,,,,manufacturing,3,,,,,technical secrets,3,,,,,technology development,2,,,,,Installment payment,1
,,,United States(US),1,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,manufacturing,0,,,,,technical secrets,0,,,,0,1,0,,,,technology development,1,,,,1,0,0,1,,,,,One time payment,0,,"LG Electronics (China) Co., Ltd.",59,,"International Business Machines (China) Investment Co., Ltd.",17,,Office of the National Disaster Risk Reduction Council,3,,International Business Machines Corporation,2,,,,,Overseas enterprises,3,,,,,United States(US),1,,,,,Foreign companies,2,,,,,manufacturing,3,,,,,technical secrets,3,,,,,technology development,2,,,,,One time payment,2
,,,United States(US),1,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,manufacturing,0,,,,,technical secrets,0,,,,0,1,0,,,,technology development,1,,,,1,0,0,1,,,,,One time payment,0,,"Toshiba (China) Co., Ltd. Beijing R&D Center",60,,"International Business Machines (China) Investment Co., Ltd.",17,,"Shanghai Chenlu Information Technology Co., Ltd.",2,,International Business Machines Corporation,2,,,,,Overseas enterprises,3,,,,,United States(US),1,,,,,Foreign companies,2,,,,,manufacturing,3,,,,,technical secrets,3,,,,,technology development,2,,,,,One time payment,2
,,,United States(US),1,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,manufacturing,0,,,,,technical secrets,0,,,,0,1,0,,,,technology development,1,,,,1,0,0,1,,,,,One time payment,0,,"Beijing Sanming Information Technology Co., Ltd.",61,,"International Business Machines (China) Investment Co., Ltd.",17,,"Beijing Yisheng Health E-Commerce Co., Ltd.",2,,International Business Machines Corporation,2,,,,,Overseas enterprises,3,,,,,United States(US),1,,,,,Foreign companies,2,,,,,manufacturing,3,,,,,technical secrets,3,,,,,technology development,2,,,,,One time payment,2
,,,United States(US),1,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,manufacturing,0,,,,,technical secrets,0,,,,0,1,0,,,,technology development,1,,,,1,0,0,1,,,,,commission payment,1,,"Gempus (Beijing) Electronics Development Co., Ltd. (GBERD)",62,,"International Business Machines (China) Investment Co., Ltd.",17,,"Shanghai Qingu Network Technology Co., Ltd.",2,,International Business Machines Corporation,2,,,,,Overseas enterprises,3,,,,,United States(US),1,,,,,Foreign companies,2,,,,,manufacturing,3,,,,,technical secrets,3,,,,,technology development,2,,,,,commission payment,3
,,,United States(US),1,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,manufacturing,0,,,,,technical secrets,0,,,,0,1,0,,,,technology development,1,,,,1,0,0,1,,,,,commission payment,1,,"Beijing Dezhong Wanquan Pharmaceutical Technology Development Co., Ltd.",63,,"International Business Machines (China) Investment Co., Ltd.",17,,"Hangzhou Wangfa Network Information Technology Co., Ltd.",2,,International Business Machines Corporation,2,,,,,Overseas enterprises,3,,,,,United States(US),1,,,,,Foreign companies,2,,,,,manufacturing,3,,,,,technical secrets,3,,,,,technology development,2,,,,,commission payment,3
