name of the buyer,location of the buyer,if the buyer is a bank,the buyer's country,if the buyer is a chinese organization,Turnover,money,installment,paystyle,payment method
"Zhejiang Blog Information Technology Co., Ltd.",Zhejiang Province,0,People's Republic of China (CN),1,8000,8000,0,2,One time payment
"Hebei Galaxy Talent Information Service Co., Ltd.",Hebei Province,0,People's Republic of China (CN),1,8064,8064,0,2,One time payment
"Beijing Yiow Network Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,8400,8400,0,2,One time payment
"Beijing Baiyi Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,8475,8475,0,2,One time payment
"Beijing Wuzunwu Technology Development Co., Ltd.",Beijing,0,People's Republic of China (CN),1,9000,9000,0,2,One time payment
"Beijing Wuzunwu Technology Development Co., Ltd.",Beijing,0,People's Republic of China (CN),1,9000,9000,1,1,Installment payment
"Beijing Wuzunwu Technology Development Co., Ltd.",Beijing,0,People's Republic of China (CN),1,9000,9000,0,2,One time payment
"Beijing Wuzunwu Technology Development Co., Ltd.",Beijing,0,People's Republic of China (CN),1,9000,9000,0,2,One time payment
"Beijing Wuzunwu Technology Development Co., Ltd.",Beijing,0,People's Republic of China (CN),1,9000,9000,0,2,One time payment
"Beijing Wuzunwu Technology Development Co., Ltd.",Beijing,0,People's Republic of China (CN),1,9000,9000,0,2,One time payment
"Beijing Wuzunwu Technology Development Co., Ltd.",Beijing,0,People's Republic of China (CN),1,9000,9000,0,2,One time payment
"Shanghai Chenlu Information Technology Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,9000,9000,0,2,One time payment
"Guangzhou Youzhiyi Information Technology Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,9000,9000,0,2,One time payment
"Beijing Zhuoyu Interactive Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,9000,9000,0,2,One time payment
"Beijing Lianxinsuo Technology Development Co., Ltd.",Beijing,0,People's Republic of China (CN),1,9000,9000,0,2,One time payment
"Shenzhen Hanshiway Technology Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,9000,9000,0,2,One time payment
"Shanghai Shizhi Advertising Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,9000,9000,1,1,Installment payment
"Beijing Jingshi Economic View Advertising Co., Ltd.",Beijing,0,People's Republic of China (CN),1,9000,9000,1,1,Installment payment
"Beijing Pengtai Interactive Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,9735,9735,0,2,One time payment
"Guangzhou Weekend Tour Guide Television Network Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,9750,9750,0,2,One time payment
"Beijing Baiyi Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,10000,10000,0,2,One time payment
"Beijing Sengen Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,10000,10000,0,2,One time payment
"Shanghai Daowei Investment Consulting Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,10000,10000,0,2,One time payment
"Zhuhai Zhongdaxin Network Technology Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,11000,11000,1,1,Installment payment
"Beijing Yiow Network Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,11200,11200,0,2,One time payment
"Shanghai Huaqianshu Information Technology Co., Ltd. Beijing Branch",Beijing,0,People's Republic of China (CN),1,12000,12000,0,2,One time payment
"Shanghai Huaqianshu Information Technology Co., Ltd. Beijing Branch",Beijing,0,People's Republic of China (CN),1,12000,12000,0,2,One time payment
"Shanghai Huaqianshu Information Technology Co., Ltd. Beijing Branch",Beijing,0,People's Republic of China (CN),1,12000,12000,0,2,One time payment
"Shanghai Huaqianshu Information Technology Co., Ltd. Beijing Branch",Beijing,0,People's Republic of China (CN),1,12000,12000,0,2,One time payment
"Shanghai Huaqianshu Information Technology Co., Ltd. Beijing Branch",Beijing,0,People's Republic of China (CN),1,12000,12000,0,2,One time payment
"Shanghai Huaqianshu Information Technology Co., Ltd. Beijing Branch",Beijing,0,People's Republic of China (CN),1,12000,12000,0,2,One time payment
"Shanghai Huaqianshu Information Technology Co., Ltd. Beijing Branch",Beijing,0,People's Republic of China (CN),1,12000,12000,0,2,One time payment
"Fujian CICC Online Network Co., Ltd.",Fujian Province,0,People's Republic of China (CN),1,12000,12000,0,2,One time payment
"Fujian CICC Online Network Co., Ltd.",Fujian Province,0,People's Republic of China (CN),1,12000,12000,0,2,One time payment
"Fujian CICC Online Network Co., Ltd.",Fujian Province,0,People's Republic of China (CN),1,12000,12000,0,2,One time payment
"Fujian CICC Online Network Co., Ltd.",Fujian Province,0,People's Republic of China (CN),1,12000,12000,0,2,One time payment
"Shanghai Huaqianshu Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,12000,12000,0,2,One time payment
"Shanghai Huaqianshu Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,12000,12000,0,2,One time payment
"Shanghai Huaqianshu Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,12000,12000,0,2,One time payment
"Shanghai Huaqianshu Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,12000,12000,0,2,One time payment
"Shanghai Shibiyou Information Technology Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,12000,12000,0,2,One time payment
"Beijing Lianxinsuo Technology Development Co., Ltd.",Beijing,0,People's Republic of China (CN),1,12000,12000,0,2,One time payment
"Beijing Youspace Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,12000,12000,0,2,One time payment
"Shenzhen Colorful Valley Information Technology Development Co., Ltd. Beijing Branch",Beijing,0,People's Republic of China (CN),1,12000,12000,0,2,One time payment
"Fuzhou Xinchi Interactive Network Co., Ltd.",Fujian Province,0,People's Republic of China (CN),1,12000,12000,0,2,One time payment
"Fuzhou CICC Online Network Technology Co., Ltd.",Fujian Province,0,People's Republic of China (CN),1,12000,12000,0,2,One time payment
"Beijing Gaowei Xincheng Information Co., Ltd.",Beijing,0,People's Republic of China (CN),1,12400,12400,0,2,One time payment
"Beijing Pengtai Interactive Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,13000,13000,0,2,One time payment
"Beijing Pengtai Interactive Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,13000,13000,0,2,One time payment
"Fuzhou Dima Network Technology Co., Ltd.",Fujian Province,0,People's Republic of China (CN),1,14000,14000,0,2,One time payment
"Shanghai Xiulin Network Technology Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,14000,14000,0,2,One time payment
"Beijing Paike.com Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,14124,14124,1,1,Installment payment
"Beijing Wuba Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,14400,14400,1,1,Installment payment
"Beijing Jimei Home Furnishing Market Group Co., Ltd.",Beijing,0,People's Republic of China (CN),1,14440,14440,0,2,One time payment
"Beijing Sixuepu Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,15000,15000,0,2,One time payment
"Beijing Sixuepu Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,15000,15000,0,2,One time payment
"Beijing Sixuepu Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,15000,15000,0,2,One time payment
"Hangzhou Wangfa Network Information Technology Co., Ltd.",Zhejiang Province,0,People's Republic of China (CN),1,15000,15000,1,1,Installment payment
"Beijing Yihuaming Health Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,15000,15000,0,2,One time payment
"Beijing Yihuaming Health Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,15000,15000,0,2,One time payment
"Beijing Wanchuang Online Technology Development Co., Ltd.",Beijing,0,People's Republic of China (CN),1,15000,15000,0,2,One time payment
"Beijing Dongyi Time Network Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,15000,15000,0,2,One time payment
"Shanghai Aosheng Business Consulting Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,15000,15000,0,2,One time payment
"Jinmeirui (Beijing) Advertising Co., Ltd.",Beijing,0,People's Republic of China (CN),1,15000,15000,0,2,One time payment
"Vancl Eslite (Beijing) Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,15000,15000,0,2,One time payment
"Beijing Baiyi Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,15255,15255,0,2,One time payment
"Beijing Baiyi Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,15255,15255,0,2,One time payment
"Pocket Aviation Service (Beijing) Co., Ltd.",Beijing,0,People's Republic of China (CN),1,16000,16000,0,2,One time payment
"Pocket Aviation Service (Beijing) Co., Ltd.",Beijing,0,People's Republic of China (CN),1,16000,16000,0,2,One time payment
"Pocket Aviation Service (Beijing) Co., Ltd.",Beijing,0,People's Republic of China (CN),1,16000,16000,0,2,One time payment
"Pocket Aviation Service (Beijing) Co., Ltd.",Beijing,0,People's Republic of China (CN),1,16000,16000,0,2,One time payment
"Pocket Aviation Service (Beijing) Co., Ltd.",Beijing,0,People's Republic of China (CN),1,16000,16000,0,2,One time payment
"Pocket Aviation Service (Beijing) Co., Ltd.",Beijing,0,People's Republic of China (CN),1,16000,16000,0,2,One time payment
"Pocket Aviation Service (Beijing) Co., Ltd.",Beijing,0,People's Republic of China (CN),1,16000,16000,0,2,One time payment
"Pocket Aviation Service (Beijing) Co., Ltd.",Beijing,0,People's Republic of China (CN),1,16000,16000,0,2,One time payment
"Pocket Aviation Service (Beijing) Co., Ltd.",Beijing,0,People's Republic of China (CN),1,16000,16000,0,2,One time payment
"Beijing Dikang Jinchuang Technology Development Co., Ltd.",Beijing,0,People's Republic of China (CN),1,16000,16000,1,1,Installment payment
"Beijing Feixiangren Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,16800,16800,0,2,One time payment
"Beijing Baiyi Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,16950,16950,0,2,One time payment
"Beijing Jiucheng Port Software Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,17250,17250,0,2,One time payment
"Beijing Jiucheng Port Software Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,17250,17250,0,2,One time payment
"Beijing Jiucheng Port Software Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,17250,17250,0,2,One time payment
"Beijing Jiucheng Port Software Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,17250,17250,0,2,One time payment
shares,Beijing,0,People's Republic of China (CN),1,17600,17600,1,1,Installment payment
"Beijing Zhuoyu Interactive Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,17700,17700,0,2,One time payment
"Shanghai Chenlu Information Technology Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,18000,18000,0,2,One time payment
"Shenzhen Catwalk Network Technology Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,18000,18000,0,2,One time payment
Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,19600,19600,1,1,Installment payment
Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,19600,19600,1,1,Installment payment
Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,19600,19600,1,1,Installment payment
Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,19600,19600,1,1,Installment payment
"Hanhai Information Technology (Shanghai) Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,20000,20000,0,2,One time payment
"Hanhai Information Technology (Shanghai) Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,20000,20000,0,2,One time payment
"Hanhai Information Technology (Shanghai) Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,20000,20000,0,2,One time payment
"Hanhai Information Technology (Shanghai) Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,20000,20000,0,2,One time payment
"China Construction Bank Co., Ltd. Xiamen Branch",Fujian Province,1,People's Republic of China (CN),1,20000,20000,1,1,Installment payment
"Beijing Chinese Online Culture Development Co., Ltd.",Beijing,0,People's Republic of China (CN),1,20000,20000,0,2,One time payment
"Beijing Boss Kitchen and Bathroom Furniture Co., Ltd.",Beijing,0,People's Republic of China (CN),1,20000,20000,1,1,Installment payment
"Shanghai Boyu Culture Communication Co., Ltd.",Beijing,0,People's Republic of China (CN),1,20000,20000,1,1,Installment payment
"Beijing Aoland Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,20000,20000,1,3,commission payment
"Beijing Yike Wood Products Co., Ltd.",Beijing,0,People's Republic of China (CN),1,20800,20800,1,1,Installment payment
"Beijing Wuba Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,21000,21000,0,2,One time payment
"Shanghai Venus Sanitary Ware Co., Ltd. Beijing Branch",Beijing,0,People's Republic of China (CN),1,21000,21000,1,1,Installment payment
"Beijing Youshi Brothers Technology and Trade Co., Ltd.",Beijing,0,People's Republic of China (CN),1,22000,22000,1,1,Installment payment
Beijing Jiahe Wanshixing Cabinet Processing Factory,Beijing,0,People's Republic of China (CN),1,23000,23000,1,1,Installment payment
"Wuxi Wicked Information Technology Co., Ltd.",Jiangsu Province,0,People's Republic of China (CN),1,24000,24000,0,2,One time payment
"Xiamen Zhongyuan Network Services Co., Ltd.",Fujian Province,0,People's Republic of China (CN),1,24750,24750,1,1,Installment payment
"Beijing Kufen Network Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,25000,25000,1,1,Installment payment
"Beijing Feixiangren Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,25400,25400,0,2,One time payment
Beijing Zhengtianhua Advertising Company,Beijing,0,People's Republic of China (CN),1,26710,26710,0,2,One time payment
"Beijing Feixiangren Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,28000,28000,0,2,One time payment
"Yilong.com Information Technology (Beijing) Co., Ltd.",Beijing,0,People's Republic of China (CN),1,28000,28000,1,1,Installment payment
Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,28500,28500,1,1,Installment payment
"Agricultural Bank of China Co., Ltd. Shenzhen Branch",Guangdong Province,1,People's Republic of China (CN),1,29400,29400,1,1,Installment payment
"Agricultural Bank of China Co., Ltd. Shenzhen Branch",Guangdong Province,1,People's Republic of China (CN),1,29400,29400,1,1,Installment payment
