time,amount,internalization,outsourcing,if the sitting date time after 2006,if the buyer is a bank,export,export to OECD,if the buyer is a chinese organization,classification of the buyer,Seller Category B,if the seller is a wholly foreign-owned company,if the seller is a wholly chinese company, if the buyer is a joint venture,classification of the seller,if the seller belongs to IT industry,Technical field B,if the outcome is a patent,if the outcome is a know-hnw,if the outcome with no IP,knowstyle,Intellectual property B,if the project is a R&D mission, if the project is a technical consultation,it the project is an IP exchange,classification of the contract,Contract type B,socioeconomic goals,Turnover,money,installment,paystyle,payment method,Is the seller a central institution in Beijing?,Is it an intermediary service organization?,Transformed enterprise
434d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,0,0,1,3,commission payment,no,no,no
914d,1,1,0,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,computer network,1,0,0,2,computer software,0,1,0,1,General technical services,social development and social services,0,0,1,3,commission payment,no,no,no
31d,6,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,1000,1000,0,2,One time payment,no,no,no
180d,6,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,1000,1000,1,3,commission payment,no,no,no
1d,3,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,1000,1000,0,2,One time payment,no,no,no
6d,5,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,1260,1260,0,2,One time payment,no,no,no
16d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,1500,1500,0,2,One time payment,no,no,no
30d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,1500,1500,0,2,One time payment,no,no,no
30d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,1600,1600,0,2,One time payment,no,no,no
31d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,1600,1600,0,2,One time payment,no,no,no
30d,6,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2000,2000,0,2,One time payment,no,no,no
30d,6,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2000,2000,0,2,One time payment,no,no,no
30d,3,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2000,2000,0,2,One time payment,no,no,no
30d,3,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2000,2000,0,2,One time payment,no,no,no
30d,3,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2000,2000,0,2,One time payment,no,no,no
30d,3,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2000,2000,1,3,commission payment,no,no,no
30d,3,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2000,2000,1,3,commission payment,no,no,no
30d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2000,2000,0,2,One time payment,no,no,no
33d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2000,2000,0,2,One time payment,no,no,no
29d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2000,2000,0,2,One time payment,no,no,no
29d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2000,2000,1,3,commission payment,no,no,no
30d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2000,2000,0,2,One time payment,no,no,no
30d,20,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2250,2250,1,3,commission payment,no,no,no
35d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2400,2400,0,2,One time payment,no,no,no
365d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,computer software,1,0,0,2,computer software,0,1,0,1,General technical services,other,2400,2400,0,2,One time payment,no,no,no
394d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,computer software,1,0,0,2,computer software,0,1,0,1,General technical services,other,2400,2400,0,2,One time payment,no,no,no
13d,5,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2520,2520,0,2,One time payment,no,no,no
14d,5,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2520,2520,0,2,One time payment,no,no,no
13d,5,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2520,2520,0,2,One time payment,no,no,no
30d,20,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2700,2700,0,2,One time payment,no,no,no
29d,20,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2700,2700,0,2,One time payment,no,no,no
30d,20,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2700,2700,0,2,One time payment,no,no,no
29d,20,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2700,2700,0,2,One time payment,no,no,no
14d,2,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2700,2700,0,2,One time payment,no,no,no
90d,2,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2700,2700,0,2,One time payment,no,no,no
364d,2,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2700,2700,1,3,commission payment,no,no,no
14d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2700,2700,0,2,One time payment,no,no,no
365d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2888,2888,1,3,commission payment,no,no,no
364d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2888,2888,0,2,One time payment,no,no,no
364d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2888,2888,0,2,One time payment,no,no,no
364d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2888,2888,0,2,One time payment,no,no,no
364d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2888,2888,0,2,One time payment,no,no,no
364d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2888,2888,0,2,One time payment,no,no,no
364d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2888,2888,0,2,One time payment,no,no,no
365d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2888,2888,0,2,One time payment,no,no,no
364d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2888,2888,0,2,One time payment,no,no,no
364d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2888,2888,0,2,One time payment,no,no,no
364d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2888,2888,0,2,One time payment,no,no,no
364d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2888,2888,0,2,One time payment,no,no,no
364d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2888,2888,0,2,One time payment,no,no,no
364d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,2888,2888,0,2,One time payment,no,no,no
14d,8,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,3000,3000,0,2,One time payment,no,no,no
30d,2,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,3000,3000,0,2,One time payment,no,no,no
30d,2,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,3000,3000,0,2,One time payment,no,no,no
30d,2,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,3000,3000,0,2,One time payment,no,no,no
31d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,3000,3000,0,2,One time payment,no,no,no
31d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,3000,3000,0,2,One time payment,no,no,no
30d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,3200,3200,0,2,One time payment,no,no,no
29d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,3540,3540,0,2,One time payment,no,no,no
28d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,computer network,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,3600,3600,0,2,One time payment,no,no,no
40d,4,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,4200,4200,0,2,One time payment,no,no,no
24d,7,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,4500,4500,0,2,One time payment,no,no,no
30d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,4500,4500,1,1,Installment payment,no,no,no
31d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,4500,4500,0,2,One time payment,no,no,no
30d,2,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,4950,4950,0,2,One time payment,no,no,no
14d,2,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,4956,4956,0,2,One time payment,no,no,no
152d,4,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,5000,5000,0,2,One time payment,no,no,no
10d,2,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,5000,5000,0,2,One time payment,no,no,no
31d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,5000,5000,0,2,One time payment,no,no,no
92d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,5100,5100,0,2,One time payment,no,no,no
30d,20,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,5400,5400,0,2,One time payment,no,no,no
30d,20,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,5400,5400,0,2,One time payment,no,no,no
30d,20,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,5400,5400,0,2,One time payment,no,no,no
29d,20,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,5400,5400,0,2,One time payment,no,no,no
30d,20,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,5400,5400,0,2,One time payment,no,no,no
30d,20,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,5400,5400,0,2,One time payment,no,no,no
30d,20,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,5400,5400,0,2,One time payment,no,no,no
29d,20,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,5400,5400,0,2,One time payment,no,no,no
29d,20,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,5400,5400,0,2,One time payment,no,no,no
30d,20,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,5400,5400,0,2,One time payment,no,no,no
29d,20,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,5400,5400,0,2,One time payment,no,no,no
29d,20,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,5400,5400,0,2,One time payment,no,no,no
29d,20,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,5400,5400,0,2,One time payment,no,no,no
